Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;2150;416;716;1462;620;1091;370;328616;37;45;82;36;35;32;36849;234430;100;65;196;79;554;154;45;62;104;99600;28621;65404;24731445;23526325;57287;6397;16700;918533;303;308420;335170
20000;179;96;62;87;179;199;104;127933;36;42;79;38;27;26;6601;428809;45;58;70;58;75;100;83;187;153;41750;31824;85012;96515387;96630433;9179;5805;12602;605587;312;137216;138333
30000;237;141;100;104;237;191;162;75354;36;44;128;38;38;49;9397;676029;44;137;95;70;158;316;66;141;145;12025;9566;39891;205922458;211409204;15166;8585;23628;748608;376;72337;80450
40000;341;462;108;337;212;108;137;101904;32;139;44;31;211;38;13123;867608;36;139;66;45;79;245;79;141;62;13204;11975;15750;372474800;363495145;18308;4991;31011;746633;297;32737;31208
50000;183;116;62;104;229;120;62;116508;35;47;35;35;34;30;14613;1100139;45;37;71;41;75;141;20;50;29;12187;14866;16437;563351145;562580462;22687;6338;29915;1011708;292;40700;39995
60000;149;108;62;112;87;304;99;139275;36;36;32;36;32;32;16768;1220944;59;35;45;58;33;37;175;66;95;21812;18095;22324;806727046;798692062;27879;7965;35716;1278129;297;48720;45879
70000;183;116;92;100;308;120;99;164837;28;34;46;28;30;32;21778;1505785;42;37;112;99;66;137;58;70;24;15883;17841;21183;1091708270;1098222129;34820;18915;45386;1363387;301;58204;54450
80000;249;99;58;108;325;225;100;208462;31;35;40;36;32;31;25209;1821857;46;45;112;74;166;191;54;41;91;25991;26158;20862;1429893637;1412174533;36829;18432;46554;1402091;311;64975;64250
90000;220;112;75;141;95;116;183;217362;37;30;40;31;32;29;28721;1899613;46;46;116;83;70;50;179;50;87;26275;17595;35733;1773601800;1765949295;40950;14742;52827;1748966;294;73100;70812
100000;83;74;83;104;99;133;216;235191;32;31;40;31;30;30;32496;2171954;52;42;95;70;87;125;508;58;50;26658;31887;28504;2175898520;2180646279;50987;16369;59003;2146025;299;81862;77683
