Benchmark;Size;Score (ns/op)
"add";10000;30124.893324926652
"add";20000;58702.34522645549
"add";30000;85520.1132026387
"add";40000;116612.12016689981
"add";50000;146102.8438804221
"add";60000;163410.46199447298
"add";70000;208225.90792719866
"add";80000;229367.35541776777
"add";90000;262982.2272324491
"add";100000;272897.43120607384
"addAll";10000;17683.55072779575
"addAll";20000;32670.610165836963
"addAll";30000;47142.74713136631
"addAll";40000;65963.17512463617
"addAll";50000;82059.1127521285
"addAll";60000;104270.20765508419
"addAll";70000;144966.3860006701
"addAll";80000;219966.9002655533
"addAll";90000;187660.23738455342
"addAll";100000;193349.0926677504
"addFirst";10000;30052.36353297743
"addFirst";20000;61787.24715297777
"addFirst";30000;82349.65913027825
"addFirst";40000;118719.77318157411
"addFirst";50000;136197.2128150134
"addFirst";60000;163416.16630243618
"addFirst";70000;202063.52755982228
"addFirst";80000;223505.23202197414
"addFirst";90000;265351.606907698
"addFirst";100000;267050.5497098745
"addLast";10000;30751.343557869535
"addLast";20000;59590.86014170487
"addLast";30000;84181.38975696529
"addLast";40000;126205.83545037305
"addLast";50000;176255.0399613079
"addLast";60000;202765.9862409836
"addLast";70000;268887.1619357091
"addLast";80000;331650.8837804964
"addLast";90000;374461.4528089852
"addLast";100000;355598.512826069
"clear";10000;35.59452476692865
"clear";20000;41.42127874410307
"clear";30000;49.33088132839606
"clear";40000;55.08541816270224
"clear";50000;48.19597037444239
"clear";60000;50.7918232209455
"clear";70000;50.85259445350321
"clear";80000;64.55771802887529
"clear";90000;59.015727130584104
"clear";100000;69.6676531650216
"constructorCapacity";10000;784.6125690879911
"constructorCapacity";20000;1505.5076306557312
"constructorCapacity";30000;1805.0420790091437
"constructorCapacity";40000;2986.440685169718
"constructorCapacity";50000;2989.45490722827
"constructorCapacity";60000;4232.512663009982
"constructorCapacity";70000;6268.459648621982
"constructorCapacity";80000;6679.664085408564
"constructorCapacity";90000;5294.3044159867195
"constructorCapacity";100000;4698.599570793366
"constructorCollection";10000;23162.865537727765
"constructorCollection";20000;45983.491967788024
"constructorCollection";30000;67235.36014431909
"constructorCollection";40000;92515.61731449499
"constructorCollection";50000;143749.5921483583
"constructorCollection";60000;141832.1609963449
"constructorCollection";70000;169650.83627063013
"constructorCollection";80000;202151.0454305728
"constructorCollection";90000;246765.65994529487
"constructorCollection";100000;263123.5348991975
"constructorDefault";10000;29.071508596800957
"constructorDefault";20000;40.51114287498134
"constructorDefault";30000;46.03386701206875
"constructorDefault";40000;51.91045472806021
"constructorDefault";50000;68.37535985037186
"constructorDefault";60000;48.95787409259313
"constructorDefault";70000;72.48093399477182
"constructorDefault";80000;91.56902067020063
"constructorDefault";90000;80.28243890695393
"constructorDefault";100000;93.93839038645957
"contains";10000;10268.772206498048
"contains";20000;8040.299299866612
"contains";30000;11640.919424813284
"contains";40000;15693.682820532484
"contains";50000;19342.60902445734
"contains";60000;23304.38865439399
"contains";70000;32687.88203017454
"contains";80000;51917.012009052974
"contains";90000;37725.488275608215
"contains";100000;88450.033584003
"containsAll";10000;141069.5535003727
"containsAll";20000;285204.1021872713
"containsAll";30000;433424.5663976712
"containsAll";40000;556441.5604387607
"containsAll";50000;703280.8276228756
"containsAll";60000;847941.2791442588
"containsAll";70000;970706.8424265942
"containsAll";80000;1126112.918910213
"containsAll";90000;1273000.8978538678
"containsAll";100000;1399430.9049900433
"descendingIteratorConsumption";10000;6665.4436894067885
"descendingIteratorConsumption";20000;13009.415468324905
"descendingIteratorConsumption";30000;19272.296426776476
"descendingIteratorConsumption";40000;25181.223165228876
"descendingIteratorConsumption";50000;31594.67442448964
"descendingIteratorConsumption";60000;37980.08587049285
"descendingIteratorConsumption";70000;44072.88779273445
"descendingIteratorConsumption";80000;50784.38565765958
"descendingIteratorConsumption";90000;60266.55016896717
"descendingIteratorConsumption";100000;62947.17530656716
"element";10000;28.976191654457327
"element";20000;47.26850849192052
"element";30000;45.43630004737302
"element";40000;39.817511719172614
"element";50000;41.40093338312669
"element";60000;46.051766738477276
"element";70000;50.4758977787005
"element";80000;44.15347286713651
"element";90000;76.89014194535704
"element";100000;82.46085121260784
"equalsBenchmark";10000;56961.04821511162
"equalsBenchmark";20000;144985.83333423772
"equalsBenchmark";30000;214976.46889138976
"equalsBenchmark";40000;291912.93288711243
"equalsBenchmark";50000;357821.19493940676
"equalsBenchmark";60000;424493.68254230934
"equalsBenchmark";70000;483609.50175788376
"equalsBenchmark";80000;544720.2350732889
"equalsBenchmark";90000;652029.7585155534
"equalsBenchmark";100000;682540.614279476
"getFirst";10000;29.71207791028284
"getFirst";20000;40.741098413807855
"getFirst";30000;36.08054939427876
"getFirst";40000;64.03973495885164
"getFirst";50000;46.128305050741744
"getFirst";60000;68.23570118184963
"getFirst";70000;72.1031388851181
"getFirst";80000;100.83311623435907
"getFirst";90000;60.31525386289061
"getFirst";100000;169.8493592059923
"getLast";10000;35.12156831177828
"getLast";20000;49.78596923741353
"getLast";30000;52.75410113006891
"getLast";40000;54.65486093844786
"getLast";50000;70.38273061755088
"getLast";60000;67.15229181724571
"getLast";70000;45.90270710626877
"getLast";80000;47.76092211812656
"getLast";90000;66.41727832616216
"getLast";100000;77.17778815687798
"isEmpty";10000;29.43876099782062
"isEmpty";20000;42.72827617595675
"isEmpty";30000;45.19733085420896
"isEmpty";40000;43.25215433648222
"isEmpty";50000;46.408572057804896
"isEmpty";60000;47.435057617424654
"isEmpty";70000;73.00465871805977
"isEmpty";80000;48.71663107141061
"isEmpty";90000;101.3430319000555
"isEmpty";100000;73.98569160950824
"iteratorConsumption";10000;7134.872738911952
"iteratorConsumption";20000;13802.493903597837
"iteratorConsumption";30000;20344.17613033659
"iteratorConsumption";40000;27945.219396105447
"iteratorConsumption";50000;34277.24066401041
"iteratorConsumption";60000;40871.91920138889
"iteratorConsumption";70000;50435.85724750492
"iteratorConsumption";80000;58425.84863442532
"iteratorConsumption";90000;63401.26430936209
"iteratorConsumption";100000;68075.06811114615
"offer";10000;33689.01011507918
"offer";20000;68192.32352620464
"offer";30000;93268.7543359241
"offer";40000;130031.23484915223
"offer";50000;175595.06525626752
"offer";60000;186483.6926824878
"offer";70000;237480.12530114
"offer";80000;271224.1296936076
"offer";90000;302828.83335576067
"offer";100000;315139.9542364834
"offerFirst";10000;33134.67232929979
"offerFirst";20000;68223.7482396529
"offerFirst";30000;95000.0004937648
"offerFirst";40000;127173.35530463206
"offerFirst";50000;158850.71358176242
"offerFirst";60000;183005.7242251242
"offerFirst";70000;221835.76569339636
"offerFirst";80000;251723.25037188033
"offerFirst";90000;280415.8548130128
"offerFirst";100000;301407.1313793233
"offerLast";10000;35303.54193299149
"offerLast";20000;70732.79081197457
"offerLast";30000;106664.62554620129
"offerLast";40000;140814.03118004664
"offerLast";50000;194550.32658260132
"offerLast";60000;194749.0003535869
"offerLast";70000;253695.70906715808
"offerLast";80000;313053.50513665174
"offerLast";90000;311890.24324854015
"offerLast";100000;334256.3244183385
"peek";10000;31.108811137846306
"peek";20000;52.4675485505442
"peek";30000;50.82879131121749
"peek";40000;36.90160663778132
"peek";50000;53.84375726890781
"peek";60000;45.61668875134836
"peek";70000;38.4365572737049
"peek";80000;46.37428564541333
"peek";90000;94.87980982535106
"peek";100000;82.04092805699821
"peekFirst";10000;35.18897017001033
"peekFirst";20000;48.55750593576999
"peekFirst";30000;47.28532423556596
"peekFirst";40000;53.84511329686927
"peekFirst";50000;90.25902048544486
"peekFirst";60000;123.63779516000606
"peekFirst";70000;128.68761828864393
"peekFirst";80000;70.39263674897207
"peekFirst";90000;77.49408956919315
"peekFirst";100000;76.50274719478273
"peekLast";10000;26.755327282557307
"peekLast";20000;37.214760613326064
"peekLast";30000;42.53468786757842
"peekLast";40000;49.53072325811117
"peekLast";50000;45.51202276052584
"peekLast";60000;48.91434374594278
"peekLast";70000;84.12145659150555
"peekLast";80000;114.2959423192886
"peekLast";90000;55.13372743080698
"peekLast";100000;92.07066211409354
"poll";10000;19178.33522073121
"poll";20000;45442.52201925381
"poll";30000;66204.53356531194
"poll";40000;92189.04197723306
"poll";50000;118030.47242866603
"poll";60000;142031.33995001172
"poll";70000;171245.24876592378
"poll";80000;200681.16913021027
"poll";90000;217904.23982567448
"poll";100000;240446.23127806108
"pollFirst";10000;19638.381398065456
