Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;2450;396;1479;437;433;704;404;384029;37;107;92;37;39;30;40277;137625;59;70;162;133;100;137;95;1404;99;249241;92721;120295;626845;507429;400;6190;17147;914095;129347;304804;326520
20000;149;170;75;99;104;245;112;201637;33;37;100;40;34;27;9562;177094;46;64;116;96;58;108;50;79;100;80454;64379;144695;413858;402283;449;4196;29047;533704;30335;147708;138666
30000;150;79;95;91;99;420;108;63004;40;33;122;30;35;31;13448;69747;33;117;79;33;58;108;87;50;54;21241;17312;60020;290066;226599;366;5182;32484;637125;43233;77724;74766
40000;183;108;91;120;362;225;87;68083;36;32;49;36;28;36;18073;85864;46;50;54;66;45;112;83;79;137;25433;29995;29746;320470;290204;366;4903;22122;834050;54920;26375;28283
50000;187;70;91;58;100;300;95;85670;38;27;45;31;29;28;21414;106912;34;44;24;108;54;100;79;66;54;33337;37491;37995;369650;353795;346;6197;26124;807628;69977;32245;41979
60000;204;91;187;79;125;383;133;101945;76;31;41;34;33;29;24792;124085;46;44;70;54;37;133;171;66;54;42279;39729;40937;452420;427037;374;15655;34235;1021312;85397;38566;41791
70000;116;104;37;129;191;295;54;123541;40;28;38;29;29;34;31686;148160;47;49;66;70;79;395;512;95;62;37399;37016;39991;797004;621320;291;8939;39723;1143437;99079;45408;48545
80000;212;91;91;95;100;366;133;139195;43;27;38;26;27;26;37300;163640;32;45;79;137;67;54;83;83;75;60104;56362;47008;614383;572795;333;9870;43247;1345874;114247;51895;54850
90000;74;66;79;108;66;262;133;154716;34;32;33;28;32;30;42515;183049;45;46;58;37;62;133;66;83;70;64370;50829;67954;628637;461537;412;10819;48820;1705074;126975;59558;62829
100000;166;116;104;83;141;266;125;172891;31;31;35;34;30;30;47545;206840;37;47;79;54;50;108;50;79;58;71870;74441;61366;692354;507633;345;11940;54345;1888071;140662;66091;70808
