Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;2145;387;1183;462;370;733;366;389954;40;39;61;28;28;26;39987;132629;49;72;150;133;100;174;112;787;108;255025;93591;129374;600495;490104;316;6215;17124;862553;133065;295108;338612
20000;150;58;71;95;87;237;79;178266;31;67;61;31;32;26;9577;170922;42;59;62;58;37;108;62;45;83;70912;62899;130879;374437;319258;241;4253;29094;523862;29751;149287;138120
30000;137;141;79;58;79;383;104;64958;36;45;108;27;31;34;13308;69186;29;92;41;62;58;112;71;66;66;20833;16699;61349;299420;231700;345;5223;32469;642649;43016;77333;75058
40000;175;108;95;91;179;283;75;70733;45;31;45;31;28;31;18118;85855;46;49;70;62;50;133;45;70;149;25779;31637;30091;298704;286483;358;4884;22662;928362;55270;26120;29191
50000;154;108;100;79;83;279;58;86399;32;38;36;27;30;32;21618;107057;34;46;104;24;62;33;41;62;70;32433;37074;35670;370541;352499;279;6132;27325;958970;69533;33737;35770
60000;187;91;46;120;133;325;62;102079;42;27;36;30;34;27;24665;123384;39;44;29;62;74;196;66;83;41;43879;41450;40645;437300;425087;345;14422;32628;1146716;84825;40750;41533
70000;120;70;74;237;70;204;45;124095;27;30;39;31;27;27;31922;151065;46;43;66;20;41;554;29;87;50;36795;37433;40087;768550;778583;304;12077;39626;1228991;99905;45350;47966
80000;45;83;216;103;96;266;91;139316;33;36;35;34;35;28;37322;170862;43;37;29;62;54;166;70;79;41;58966;55578;46604;631487;585216;433;9778;43372;1343374;112952;52208;55483
90000;183;225;75;71;83;283;70;159562;42;33;43;34;31;32;42394;187290;42;45;58;20;45;275;37;79;79;63241;49254;67441;505874;630212;329;10863;48885;1521866;126295;58037;62787
100000;66;50;95;204;45;321;100;178025;35;29;40;35;30;27;47807;212563;45;30;66;50;41;108;75;66;20;69904;74908;62258;544779;687325;308;12009;53155;1732708;140126;64974;68504
