"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,30124.893325,5261.457519,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,58702.345226,3272.389254,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,85520.113203,7735.797004,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,116612.120167,27450.557343,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,146102.843880,250319.124185,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,163410.461994,106530.624498,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,208225.907927,30596.003791,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,229367.355418,25906.871355,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,262982.227232,258425.723196,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.add","avgt",1,3,272897.431206,52598.008090,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,17683.550728,41514.380949,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,32670.610166,28040.140585,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,47142.747131,5391.996120,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,65963.175125,48278.374206,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,82059.112752,22953.921041,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,104270.207655,65265.783129,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,144966.386001,202653.358067,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,219966.900266,161250.941884,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,187660.237385,503707.740818,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.addAll","avgt",1,3,193349.092668,477634.349039,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,30052.363533,2392.134712,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,61787.247153,8886.267031,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,82349.659130,27766.292450,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,118719.773182,55306.233932,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,136197.212815,1952.938491,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,163416.166302,109357.830981,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,202063.527560,88390.183325,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,223505.232022,187532.721868,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,265351.606908,95498.959868,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.addFirst","avgt",1,3,267050.549710,104336.704865,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.addLast","avgt",1,3,30751.343558,12588.382289,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.addLast","avgt",1,3,59590.860142,44192.134723,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.addLast","avgt",1,3,84181.389757,17329.770111,"ns/op",30000
