Size;constructor();constructor(int);constructor(Collection);add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;24;760;22537;39942;28350;42874;40251;25742;27980;28333;16476;28;27;23;28;32;26;3173;115244;23;23;18152;18252;18282;18357;18240;18345;18120;21566;21666;25421;122194;114514;21;1252;5936;143445;43399;6444;6244
20000;34;1541;43277;78832;54411;79422;78795;50303;53749;54431;31004;31;31;33;32;35;34;5653;239871;35;32;35907;36315;36229;36274;36699;36257;35756;41408;41402;41046;273472;234938;25;2309;11633;324952;87553;11963;11885
30000;78;1331;61310;110881;84109;113007;110982;77282;82596;83344;47694;29;30;30;33;33;34;8068;364338;31;31;51317;51190;52786;51354;50959;51939;51113;75725;61463;60644;398067;355515;26;3347;17431;483358;129145;17418;19023
40000;35;2764;87705;160516;107069;162452;161627;97828;104536;107533;63213;30;28;30;35;42;37;10524;484031;34;29;74103;73909;75521;73383;74116;75377;73893;89163;87489;88809;536655;487920;29;5053;22903;605220;181442;23566;23491
50000;64;3375;106206;190245;138928;193013;191418;130318;137061;139613;79323;27;27;28;36;35;36;12918;612654;34;30;89981;89271;90980;95009;90661;91536;89909;105734;106073;107331;687327;637171;30;5233;28136;816841;229968;28722;28254
60000;30;3919;126361;220202;165435;223453;219360;151544;162158;164954;97128;30;32;27;35;34;38;15455;744345;39;29;106869;107404;110949;106558;105382;109182;106575;125326;127287;124072;821578;749357;28;5568;34592;976960;268067;33898;34866
70000;37;8336;169353;327565;186112;321802;316939;172993;187329;190463;119365;28;30;35;41;38;35;18110;883552;44;31;149177;148084;147098;146726;148831;149437;146557;169224;166698;166454;992620;900905;43;9377;39806;1158376;339691;42149;42490
80000;37;6318;186157;345284;210807;343323;344667;200750;212004;213939;142079;36;39;39;51;49;48;20423;1034581;48;51;169782;169836;171081;170023;169850;170471;167533;211866;195726;200460;1105739;1058241;42;10094;48071;1286704;391797;49355;47851
90000;39;5958;204346;372290;266024;359457;360597;250224;251026;254852;163601;39;39;40;59;57;49;25508;1189196;55;50;188805;192488;191419;188432;191691;188759;190324;217138;215074;214952;1269401;1208061;35;12235;55956;1341755;450303;55126;58200
100000;44;6776;228014;395700;278425;397593;391495;248247;266751;271220;188508;43;40;39;54;58;57;26090;1354318;57;52;214871;211431;218142;213781;214284;214374;213688;241473;256198;240134;1424876;1347928;38;12059;61662;1664229;504237;62390;64602
