Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;1708;412;1275;433;383;750;395;335670;38;33;40;29;28;29;54809;105291;64;61;108;179;95;158;116;658;104;131012;32212;83829;600141;350395;400;6657;17076;901208;65828;380229;352487
20000;141;100;145;87;87;166;104;163170;37;36;35;34;34;32;6441;208059;41;53;62;58;54;103;49;62;112;47525;40312;90929;316900;300199;329;4671;16533;481441;24770;133987;132604
30000;158;79;83;95;83;262;95;59162;34;29;113;37;33;35;8923;55266;45;108;45;45;45;141;91;91;49;58846;47762;40637;381162;153120;820;3772;18052;551258;37335;76133;75891
40000;170;129;91;99;162;179;108;71195;30;148;35;39;38;34;12601;67152;36;45;66;58;58;116;104;66;141;11529;10345;61674;223683;186875;433;5239;43042;787046;47196;38462;37070
50000;166;62;75;83;95;199;104;87745;37;39;32;37;31;29;14235;81312;35;42;58;24;54;91;99;46;62;10529;12770;11633;305704;220345;333;6342;27278;788600;59768;32616;33512
60000;166;91;50;95;45;208;50;107241;39;33;26;33;32;32;16787;94834;42;45;74;91;62;75;125;62;45;18120;15187;15758;255041;385229;333;9920;33519;912191;71842;39854;40675
70000;179;91;237;87;74;283;108;123578;26;24;26;23;27;32;21209;115257;46;44;33;54;37;574;79;41;62;13341;13366;15049;728120;904550;391;8886;38482;1064866;82203;45916;48362
80000;204;75;108;121;58;233;79;140737;36;26;24;32;35;33;24959;125412;54;42;70;79;62;33;58;54;87;21420;21000;13062;357737;381954;295;10008;42860;1222745;96166;52891;138033
90000;204;91;75;37;66;200;75;164320;29;32;34;25;33;32;28557;140666;47;37;79;62;29;104;83;37;29;19070;14900;25208;546870;485441;237;11025;48587;1364670;110170;64083;65200
100000;166;41;75;112;75;221;100;184845;35;27;30;34;28;33;31952;161906;35;42;74;174;70;270;91;79;75;22478;25504;20150;438512;459841;287;12268;53814;1497708;120365;66100;70150
