Size;constructor();constructor(int);constructor(Collection);add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;49;974;29214;58852;44258;61896;48003;30598;31945;32831;24879;57;45;46;42;39;36;5108;179740;38;54;20180;19240;21008;19682;19936;20264;20035;29255;25052;28704;146497;137852;37;1399;7504;187933;62315;8635;9030
20000;52;1785;59509;126758;86285;123809;94815;57850;62112;63485;49967;54;51;51;48;44;52;8483;362182;49;62;41851;38892;43125;40016;41146;41638;41038;46515;54395;49010;315528;273222;45;2492;14422;380226;119459;15742;17427
30000;53;1886;88212;170134;133029;215262;134171;99312;95758;98038;74692;51;47;54;50;45;53;12080;592716;47;57;61744;56698;63699;58056;58695;59974;59960;70150;91031;85773;467137;423800;49;4407;21355;911794;176698;23467;26698
40000;56;3113;127978;258439;173466;252998;198388;116435;122986;125766;101188;56;51;66;63;51;66;15291;672395;48;70;89054;82723;87808;84372;84154;86347;85762;98835;104624;102439;626497;575833;48;5015;28406;782815;242874;30830;35328
50000;60;3032;151355;306657;223796;317632;233162;150808;164263;168519;132809;57;48;52;50;48;51;18648;842998;136;56;106499;100275;108424;108213;103072;109935;109791;126353;132486;120851;778665;728267;49;6466;35861;992799;308337;37570;43563
60000;72;3428;181194;357450;273527;354111;271607;180330;190873;194982;181568;55;51;58;52;48;48;22567;1059503;61;68;131020;119362;129717;124356;124015;129871;129809;146820;166404;143799;937363;901157;54;6905;41999;1235535;404612;44956;52985
70000;73;7725;231845;510928;321894;499811;391545;207635;216891;225948;220245;82;73;78;62;65;62;26362;1231825;69;79;186448;169023;176708;175970;167149;177444;187373;194418;220046;194740;1119649;1086292;64;9512;51536;1410989;476602;52526;62070
80000;76;7798;262887;562553;374476;553520;419511;241465;249206;256384;263865;79;84;87;75;67;70;30077;1455938;92;81;206401;198625;201325;194799;199004;200843;200196;258913;283982;232017;1283262;1222017;67;10761;63970;1566109;537885;61673;70913
90000;86;6288;288245;628094;424176;622026;443765;286333;294215;303802;297130;75;103;87;73;72;70;35138;1632533;69;82;231438;220212;231959;223280;234190;235702;227044;252950;286873;253766;1436441;1358241;72;13555;70635;1603746;605157;70036;82425
100000;78;7367;337998;649352;487639;635373;476587;292678;312735;322824;331066;83;94;86;76;74;77;37295;1888629;105;96;254535;258238;254376;259579;253488;263162;260923;295041;312953;296388;1588191;1589540;78;15681;76475;2058719;659579;76731;90192
