Size;add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;2229;424;579;1579;491;1487;379;335720;42;44;122;37;34;33;37989;233526;119;62;662;79;433;649;45;54;945;95649;28474;65258;24224508;22999608;58308;6282;16467;934116;322;310778;323183
20000;270;58;54;83;83;91;75;127183;33;33;78;43;31;27;6129;415002;45;58;46;37;66;87;70;54;116;36704;31737;82941;96323091;96660412;9266;6015;12448;553704;309;131904;133829
30000;170;91;83;125;99;208;91;71716;37;32;142;32;34;34;9077;668376;37;112;79;74;49;58;62;58;75;10083;9495;38604;205517820;208809520;13741;3976;18340;595845;443;69920;77991
40000;208;95;79;187;108;133;112;95875;31;40;49;35;37;36;12897;858838;43;48;83;62;66;91;49;183;91;12641;11283;12925;363981878;363092254;18370;10163;34907;851041;291;31870;30216
50000;216;62;70;87;262;116;62;116795;42;36;34;31;33;30;14740;1100872;38;37;104;91;75;229;66;91;41;12354;14508;12512;574292645;563916441;23083;6497;29718;946504;303;41008;38333
60000;266;95;70;83;87;266;62;139454;42;37;43;32;34;33;16893;1216438;47;32;79;45;58;121;174;45;95;21520;17983;17387;799076600;800610079;27375;7482;35641;1226066;297;51220;45870
70000;204;87;75;112;170;116;66;163058;28;208;43;34;37;31;21553;1508245;48;37;104;145;108;91;62;37;99;15891;17379;16225;1080617791;1090501620;31491;15934;41320;1178108;292;58374;55104
80000;141;100;70;87;116;266;58;199545;46;113;47;34;29;32;25275;1789199;40;43;66;79;150;75;54;50;87;25770;26337;14420;1426986895;1400996041;36579;18228;46984;1294954;300;65016;61291
90000;70;71;54;100;95;66;108;211220;38;28;39;32;32;32;28526;1908293;34;35;29;99;74;141;166;71;95;22829;17916;26612;1785659954;1771084958;41120;17967;52403;1540554;524;73029;68550
100000;158;54;62;99;100;112;225;234370;38;32;31;32;30;35;32142;2180316;60;47;70;75;54;108;179;45;83;27754;30425;22096;2182815554;2222012637;45641;12447;57850;1891445;303;83062;78908
